ArraySize,Series,Attempt,Time,Passes,Swaps
8000,5,12,0.18811,4070,16075253
8000,5,13,0.18627,4018,15968110
8000,5,14,0.183938,4026,15907677
8000,5,15,0.185923,4026,16061212
8000,5,16,0.181789,3948,15808980
8000,5,17,0.187031,4052,16014766
8000,5,18,0.181265,4004,15896008
8000,5,19,0.185711,3958,15946698
8000,5,20,0.181439,4004,15882606
8000,6,1,0.18058,3988,15882224
8000,6,2,0.183464,3956,15852084
8000,6,3,0.187101,4064,16080083
8000,6,4,0.186775,4028,16034248
8000,6,5,0.181946,4026,16064295
8000,6,6,0.1882,4036,16040821
8000,6,7,0.184052,4018,16076537
8000,6,8,0.18515,3960,15931257
8000,6,9,0.186193,4022,16136358
8000,6,10,0.190346,4042,16004814
8000,6,11,0.182565,4042,16065343
8000,6,12,0.187042,4008,16007038
8000,6,13,0.187526,3922,15837300
8000,6,14,0.194616,4070,16090760
8000,6,15,0.186863,4048,16077103
8000,6,16,0.181387,3978,15841174
8000,6,17,0.184868,3992,16023501
8000,6,18,0.183659,4036,16028870
8000,6,19,0.187674,4018,16103771
8000,6,20,0.189143,4034,15969445
8000,7,1,0.185464,4064,16174102
8000,7,2,0.180658,3952,15873081
8000,7,3,0.187443,4036,16127476
8000,7,4,0.182938,4014,15895579
8000,7,5,0.184337,3992,15997975
8000,7,6,0.187195,4044,16024472
8000,7,7,0.183735,4012,16119303
8000,7,8,0.188588,3992,15897137
8000,7,9,0.183775,4042,16040891
8000,7,10,0.185152,3934,16001097
8000,7,11,0.187798,4022,15993643
8000,7,12,0.186072,4074,16105835
8000,7,13,0.189017,4026,16155394
8000,7,14,0.184822,3988,15958600
8000,7,15,0.187535,4032,16036576
8000,7,16,0.184315,3976,15883115
8000,7,17,0.182923,3954,15780161
8000,7,18,0.18538,4048,15996250
8000,7,19,0.184909,3978,16022462
8000,7,20,0.187755,4002,15924279
8000,8,1,0.18716,4018,15942819
8000,8,2,0.185044,3990,15854394
8000,8,3,0.187998,4066,16070513
8000,8,4,0.184083,4008,15982748
8000,8,5,0.184089,4076,16130808
8000,8,6,0.183757,3948,15825242
8000,8,7,0.185137,4044,16127564
8000,8,8,0.182473,4040,15909309
8000,8,9,0.196394,3978,15891079
8000,8,10,0.187908,4080,16074170
8000,8,11,0.181835,3984,15850833
8000,8,12,0.188936,4092,16132083
8000,8,13,0.183573,4052,15922006
8000,8,14,0.184225,3964,15834013
8000,8,15,0.185922,4030,16030781
8000,8,16,0.184618,3996,15940943
8000,8,17,0.183575,3954,15845986
8000,8,18,0.188818,4042,16119296
8000,8,19,0.182728,4048,16006797
8000,8,20,0.184625,4000,15984278
16000,1,1,0.800247,7944,63606825
16000,1,2,0.79947,8030,64412546
16000,1,3,0.800064,8136,64354514
16000,1,4,0.802773,7970,63936360
16000,1,5,0.7919,7902,63360388
16000,1,6,0.807349,8092,64768294
16000,1,7,0.793146,8032,63830561
16000,1,8,0.814965,8072,64166278
16000,1,9,0.808582,8058,64467396
16000,1,10,0.807088,8066,64139830
16000,1,11,0.797928,8010,63614652
16000,1,12,0.799518,7988,63854379
16000,1,13,0.79881,8090,64262171
16000,1,14,0.795876,8058,64224745
16000,1,15,0.799575,8176,64533102
16000,1,16,0.805246,8162,64403159
16000,1,17,0.80452,8120,64797916
16000,1,18,0.808661,8088,64037774
16000,1,19,0.793888,8000,64092257
16000,1,20,0.802191,8076,63756776
16000,2,1,0.796171,8008,63773511
16000,2,2,0.788279,7988,63831002
16000,2,3,0.789749,7878,63327594
16000,2,4,0.7924,8008,64055506
